Date,1301.T,1305.T,1306.T,1308.T,1309.T,1311.T,1319.T,1320.T,1321.T,1322.T,1325.T,1326.T,1328.T,1329.T,1330.T,1332.T,1333.T,1343.T,1345.T,1346.T,1348.T,1349.T,1356.T,1357.T,1358.T,1360.T,1364.T,1365.T,1366.T,1367.T,1368.T,1369.T,1375.T,1376.T,1377.T,1379.T,1380.T,1381.T,1382.T,1383.T,1384.T
2023-01-04,3440.999755859375,1844.821533203125,1825.9866943359375,1804.1422119140625,39500.0,873.5730590820312,309.8671875,25246.345703125,25315.19140625,7438.0,161.05551147460938,22490.0,6013.0,2512.445556640625,25335.263671875,492.1936340332031,739.8896484375,1752.9395751953125,1643.6602783203125,25178.96484375,1805.1226806640625,12844.4052734375,982.7000122070312,402.0,22846.466796875,983.5999755859375,16849.71875,19135.0,1049.0,17350.0,1423.0,24274.755859375,961.0653076171875,1307.1182861328125,4012.654296875,1731.3731689453125,1015.71875,2662.132080078125,1574.7093505859375,2905.507080078125,649.4385986328125
2023-01-05,3436.41162109375,1859.78955078125,1826.9228515625,1804.1422119140625,39590.0,874.7152099609375,313.029052734375,25331.927734375,25443.59765625,7500.0,160.13661193847656,22845.0,6121.0,2521.829345703125,25596.943359375,485.7896423339844,733.288818359375,1741.2042236328125,1624.2723388671875,25292.0859375,1804.198486328125,12979.8935546875,982.2999877929688,399.0,23035.115234375,974.2999877929688,16864.30859375,19300.0,1039.0,17370.0,1420.0,24157.896484375,967.8402099609375,1304.3233642578125,4003.21240234375,1727.6617431640625,1025.4385986328125,2659.41455078125,1550.56884765625,2947.09912109375,653.9236450195312
2023-01-06,3413.4716796875,1850.9022216796875,1833.4759521484375,1809.7552490234375,40560.0,880.4260864257812,308.8442077636719,25507.845703125,25567.248046875,7776.0,160.63783264160156,22945.0,6147.0,2537.781005859375,25639.76171875,483.95989990234375,733.5888671875,1730.338134765625,1610.4853515625,25433.48828125,1810.2064208984375,13133.4482421875,974.5,394.0,23268.4453125,963.5999755859375,16912.955078125,19515.0,1026.0,17485.0,1411.0,24270.0859375,969.77587890625,1339.726318359375,3974.88818359375,1728.589599609375,1020.5787353515625,2658.508544921875,1557.0682373046875,2962.943603515625,661.0997314453125
2023-01-10,3408.8837890625,1856.515380859375,1836.75244140625,1815.3682861328125,40650.0,879.4742431640625,308.8442077636719,25679.005859375,25757.48046875,7850.0,161.4731903076172,22970.0,6150.0,2557.017333984375,25801.52734375,481.2153015136719,729.9884643554688,1739.0308837890625,1636.303955078125,25678.58203125,1816.2142333984375,13092.8017578125,969.0999755859375,387.0,23625.884765625,948.2999877929688,16995.646484375,19800.0,1011.0,17575.0,1402.0,24932.904296875,959.129638671875,1320.1614990234375,3894.63525390625,1726.73388671875,1029.326416015625,2658.508544921875,1614.63427734375,2943.13818359375,666.4818725585938
2023-01-11,3418.059814453125,1876.1610107421875,1856.4119873046875,1835.48193359375,41070.0,891.7526245117188,313.4010314941406,25930.994140625,26009.5390625,7811.0,165.14871215820312,23155.0,6213.0,2580.4765625,26072.72265625,477.555908203125,725.4879150390625,1742.9427490234375,1636.7393798828125,25937.8203125,1834.699951171875,13187.6435546875,949.2999877929688,380.0,24102.474609375,928.5999755859375,17156.169921875,20205.0,989.0,17955.0,1375.0,25175.845703125,961.0653076171875,1353.7012939453125,3913.51806640625,1724.878173828125,1020.5787353515625,2640.392822265625,1639.703369140625,2928.28369140625,666.4818725585938
2023-01-12,3418.059814453125,1885.04833984375,1865.3055419921875,1841.5628662109375,40620.0,897.6539306640625,307.4492492675781,25945.259765625,26028.5625,7833.0,167.98892211914062,23060.0,6182.0,2582.353271484375,26091.75390625,476.64105224609375,723.9877319335938,1727.2952880859375,1629.7725830078125,25909.5390625,1847.6397705078125,13187.6435546875,939.5999755859375,379.0,24132.26171875,927.7000122070312,17238.859375,20230.0,988.0,18085.0,1363.0,25218.720703125,966.872314453125,1353.7012939453125,3894.63525390625,1726.73388671875,1022.522705078125,2676.62451171875,1612.77734375,2913.42919921875,689.8042602539062
2023-01-13,3404.295654296875,1878.499755859375,1857.8162841796875,1836.41748046875,40870.0,899.4623413085938,307.0772705078125,25621.953125,25700.412109375,7774.0,167.0700225830078,22745.0,6095.0,2548.57177734375,25725.404296875,475.7261962890625,720.0872192382812,1721.64501953125,1619.32275390625,25320.365234375,1819.911376953125,13187.6435546875,946.0,389.0,23516.66796875,952.9000244140625,17199.943359375,19720.0,1014.0,17980.0,1373.0,24899.556640625,967.8402099609375,1340.657958984375,3842.70654296875,1726.73388671875,1024.466552734375,2676.62451171875,1667.557861328125,2890.65283203125,662.893798828125
2023-01-16,3404.295654296875,1863.0638427734375,1841.9013671875,1819.578125,41200.0,889.3731689453125,304.4732971191406,25336.681640625,25415.0625,7929.0,168.40660095214844,22775.0,6104.0,2519.95263671875,25530.333984375,479.3855895996094,720.3872680664062,1710.3441162109375,1604.5184326171875,25284.189453125,1820.8468017578125,12934.73046875,962.5,398.0,23005.328125,973.2999877929688,17044.287109375,19280.0,1037.0,17680.0,1396.0,24585.15625,966.872314453125,1339.726318359375,3682.200439453125,1725.8060302734375,1040.018310546875,2682.059326171875,1662.9154052734375,2879.759765625,654.8206787109375
2023-01-17,3422.647705078125,1878.031982421875,1859.6885986328125,1835.94970703125,40700.0,898.9864501953125,304.4732971191406,25650.48046875,25728.9453125,7880.0,167.90538024902344,22860.0,6126.0,2551.38720703125,25753.94921875,479.3855895996094,720.687255859375,1690.3504638671875,1590.5850830078125,25617.37890625,1836.7493896484375,13011.5078125,945.7999877929688,388.0,23551.41796875,948.7000122070312,17238.859375,19735.0,1011.0,17995.0,1371.0,24890.03125,974.6150512695312,1351.837890625,3833.26513671875,1731.3731689453125,1021.5506591796875,2682.059326171875,1639.703369140625,2897.584716796875,661.0997314453125
2023-01-18,3459.3515625,1910.7747802734375,1891.050048828125,1866.3538818359375,41370.0,913.4539184570312,313.4010314941406,26268.5625,26347.203125,7985.0,167.90538024902344,23080.0,6186.0,2614.7265625,26401.009765625,483.95989990234375,726.9880981445312,1714.255859375,1609.743408203125,26226.638671875,1867.619140625,13137.9638671875,913.2000122070312,369.0,24718.068359375,900.9000244140625,17496.6640625,20740.0,960.0,18575.0,1322.0,25528.357421875,971.7115478515625,1363.949462890625,3833.26513671875,1734.1566162109375,1019.6067504882812,2682.965087890625,1687.0560302734375,2895.6044921875,675.4520263671875
