Date,1301.T,130A.T,131A.T,132A.T,1332.T,1333.T,134A.T,135A.T,136A.T,1375.T,1376.T,1377.T,1379.T,137A.T,1380.T,1381.T,1382.T,1383.T,1384.T,138A.T,139A.T,1401.T,1407.T,1414.T,1417.T,1418.T,1419.T,141A.T,1420.T,1429.T,142A.T,1430.T,1431.T,1432.T,1433.T,1434.T,1435.T,1436.T,1438.T,143A.T,1443.T,1444.T,1445.T,1446.T,1447.T,144A.T,1450.T,1452.T,145A.T,146A.T,147A.T,148A.T,1491.T,149A.T,150A.T,1514.T,1515.T,1518.T,151A.T,152A.T,153A.T,154A.T,155A.T,156A.T,157A.T,158A.T,1605.T,160A.T,161A.T,164A.T,1662.T,1663.T,166A.T,167A.T,168A.T,1711.T,1716.T,1717.T,1718.T,1719.T,171A.T,1720.T,1721.T,1723.T,1724.T,1726.T,172A.T,1736.T,173A.T,1758.T,175A.T,1762.T,1764.T,1766.T,1768.T,1770.T,1773.T,1776.T,177A.T,1780.T
2025-01-06,3976.334228515625,935.0,1717.0,220.0,855.1609497070312,980.12109375,1500.0,2032.0,4330.0,1067.966064453125,1341.665771484375,3351.807373046875,1755.942626953125,1017.0,990.234375,2591.904296875,1755.5555419921875,3199.210205078125,1173.4296875,2389.469970703125,3310.0,741.6704711914062,1719.856689453125,1229.2861328125,2206.60546875,293.8665771484375,3387.098388671875,2633.5908203125,706.9658203125,732.234375,573.0,812.57861328125,672.9473876953125,174.0,1007.5416870117188,938.4351806640625,132.35401916503906,2252.80224609375,1952.8184814453125,956.0,184.96142578125,2974.0,2900.0,571.4074096679688,312.67041015625,450.0,1201.067626953125,18530.0,647.0,1816.169189453125,1107.0,2149.0,631.4666748046875,804.0,456.0,739.4609375,868.2484130859375,837.2908325195312,901.0,1186.0,1395.5238037109375,6593.0,498.0,610.0244140625,534.41748046875,2202.0,1923.756103515625,1811.239501953125,1125.0,1942.52001953125,1128.6553955078125,3718.526123046875,780.6777954101562,2413.966796875,917.1398315429688,352.0,1350.8421630859375,879.2283325195312,4502.7216796875,1128.1346435546875,2104.0,700.2617797851562,3088.109375,3342.076416015625,606.412109375,325.0260314941406,2234.0,1149.203125,1448.1859130859375,1661.4658203125,905.0,2761.235595703125,2603.23486328125,11911.3115234375,812.8986206054688,1454.7774658203125,94.94999694824219,1035.5626220703125,1627.9017333984375,1213.919921875
2025-01-07,3937.540771484375,861.0,1717.0,220.0,848.8558349609375,964.9530029296875,1500.0,2031.0,4330.0,1074.868896484375,1358.2293701171875,3346.9140625,1757.8905029296875,1016.0,990.234375,2583.232666015625,1771.1605224609375,3219.142822265625,1210.635986328125,2398.341796875,3310.0,729.86669921875,1688.7919921875,1223.5205078125,2180.434326171875,297.4503479003906,3349.041015625,2636.56884765625,708.8973999023438,729.3515625,582.0,810.6666259765625,672.9473876953125,174.0,1006.5831909179688,908.5364379882812,132.35401916503906,2264.73779296875,1924.3603515625,955.0,182.97259521484375,2945.0,2900.0,569.4370727539062,314.6368713378906,450.0,1244.3060302734375,18530.0,638.0,1799.0816650390625,1091.0,2117.0,670.933349609375,795.0,495.0,741.3841552734375,880.8457641601562,911.566650390625,899.0,1186.0,1462.2618408203125,6593.0,493.0,599.3731689453125,546.1844482421875,2202.0,1904.561767578125,1821.9224853515625,1125.0,1942.52001953125,1132.5009765625,3659.501708984375,786.3970947265625,2447.25634765625,938.37890625,389.0,1338.24462890625,887.8295288085938,4493.16162109375,1120.544189453125,2104.0,701.2222900390625,3091.974365234375,3492.01025390625,602.5740966796875,325.98199462890625,2234.0,1146.0460205078125,1480.5640869140625,1707.037353515625,860.0,2769.9951171875,2608.02734375,11804.0029296875,811.9331665039062,1462.4493408203125,91.95157623291016,1029.744873046875,1623.955322265625,1206.094482421875
2025-01-08,3879.350341796875,817.0,1717.0,220.0,837.1188354492188,956.2393798828125,1500.0,1945.0,4330.0,1073.8828125,1351.4090576171875,3332.234619140625,1749.1253662109375,1037.0,989.244140625,2582.26904296875,1783.8394775390625,3219.142822265625,1235.440185546875,2422.985595703125,3310.0,722.9811401367188,1669.0234375,1215.1123046875,2207.090087890625,294.7625427246094,3287.197998046875,2700.1005859375,705.0341796875,710.1328125,576.0,811.6226196289062,671.9562377929688,174.0,983.5755004882812,917.2167358398438,130.37860107421875,2271.699951171875,1949.87451171875,960.0,182.97259521484375,2935.0,2900.0,573.3778076171875,325.4525146484375,450.0,1232.77587890625,18530.0,635.0,1777.11181640625,1120.0,2081.0,651.2000122070312,794.0,520.0,721.1907958984375,868.2484130859375,842.1139526367188,876.0,1186.0,1410.465087890625,6593.0,482.0,588.7219848632812,549.126220703125,2202.0,1913.19921875,1805.4124755859375,1125.0,1942.52001953125,1130.578125,3575.884033203125,771.145751953125,2444.40283203125,932.58642578125,370.0,1336.3065185546875,880.1840209960938,4588.76123046875,1110.107177734375,2104.0,697.3800048828125,3113.23193359375,3579.06884765625,606.412109375,325.0260314941406,2234.0,1125.5244140625,1456.03515625,1674.757568359375,969.0,2728.143798828125,2683.747314453125,11618.650390625,814.8294677734375,1476.8341064453125,91.95157623291016,1027.8055419921875,1607.1829833984375,1186.5308837890625
2025-01-09,3855.1044921875,797.0,1717.0,220.0,836.1488037109375,949.462158203125,1500.0,1955.0,4330.0,1064.0216064453125,1338.74267578125,3307.768798828125,1753.994873046875,1038.0,988.25390625,2562.998291015625,1760.43212890625,3224.1259765625,1218.26806640625,2424.957275390625,3310.0,720.0302124023438,1629.486572265625,1205.7430419921875,2162.017578125,283.1153564453125,3301.469482421875,2773.559326171875,704.0684204101562,696.6796875,577.0,799.1949462890625,677.9027709960938,174.0,969.1957397460938,908.5364379882812,129.390869140625,2239.872314453125,1913.56591796875,939.0,180.98374938964844,2936.0,2900.0,571.4074096679688,324.4692687988281,450.0,1210.6761474609375,18530.0,628.0,1781.9940185546875,1097.0,2008.0,651.2000122070312,787.0,511.0,706.7669677734375,867.2793579101562,841.1493530273438,848.0,1186.0,1406.480712890625,6593.0,479.0,580.00732421875,544.2233276367188,2202.0,1879.129150390625,1793.7584228515625,1125.0,1942.52001953125,1104.6209716796875,3447.99853515625,777.8181762695312,2432.0380859375,915.2090454101562,338.0,1312.08056640625,877.3170166015625,4588.76123046875,1103.465576171875,2104.0,694.498291015625,3099.70458984375,3395.278564453125,601.6145629882812,323.1141357421875,2234.0,1125.5244140625,1450.148193359375,1669.06103515625,936.0,2679.478759765625,2637.740234375,11550.36328125,816.7603759765625,1442.3106689453125,83.9557876586914,1020.048583984375,1597.31689453125,1177.7271728515625
2025-01-10,3840.556884765625,819.0,1717.0,220.0,836.0518188476562,946.5575561523438,1500.0,1950.0,4330.0,1064.0216064453125,1339.717041015625,3332.234619140625,1758.8643798828125,1110.0,986.2734375,2607.32080078125,1735.0740966796875,3209.176513671875,1198.23388671875,2386.5126953125,3310.0,722.9811401367188,1634.193359375,1199.4969482421875,2155.232666015625,286.6991271972656,3296.712158203125,2758.6689453125,706.9658203125,702.4453125,575.0,798.2389526367188,667.0008544921875,174.0,972.0717163085938,925.8970336914062,130.37860107421875,2230.9208984375,1952.8184814453125,939.0,181.97816467285156,2906.0,2900.0,569.4370727539062,331.3519592285156,450.0,1191.4591064453125,18530.0,630.0,1772.2296142578125,1118.0,2037.0,631.4666748046875,800.0,531.0,717.3444213867188,872.12451171875,868.1587524414062,851.0,1186.0,1416.441650390625,6593.0,473.0,587.753662109375,561.873779296875,2202.0,1871.451416015625,1791.8160400390625,1125.0,1942.52001953125,1093.08447265625,3531.615966796875,773.0521240234375,2451.060546875,920.0361328125,357.0,1310.1424560546875,874.449951171875,4588.76123046875,1093.9774169921875,2104.0,688.7348022460938,3114.1982421875,3521.02978515625,592.9789428710938,321.2022399902344,2234.0,1127.10302734375,1504.11181640625,1642.4776611328125,920.0,2665.852783203125,2635.8232421875,11423.54296875,813.864013671875,1448.064697265625,86.95420837402344,1028.7752685546875,1615.075927734375,1185.552734375
2025-01-14,3816.31103515625,815.0,1717.0,220.0,829.2617797851562,935.5848388671875,1500.0,2090.0,4330.0,1072.896728515625,1344.5887451171875,3312.661865234375,1771.525146484375,1065.0,982.3125,2552.3994140625,1745.802490234375,3239.07568359375,1205.865966796875,2214.991455078125,3310.0,726.915771484375,1624.77978515625,1183.641357421875,2130.515625,295.658447265625,3268.169189453125,2769.588623046875,706.0,689.953125,574.0,804.9307861328125,651.1434326171875,174.0,961.5265502929688,932.6483154296875,127.41544342041016,2238.877685546875,1903.752685546875,905.0,178.9949188232422,2826.0,2900.0,567.4666748046875,340.20111083984375,450.0,1187.13525390625,18530.0,624.0,1752.700927734375,1065.0,1995.0,651.2000122070312,800.0,568.0,700.035888671875,856.6201171875,859.4771728515625,820.0,1186.0,1381.5784912109375,6593.0,463.0,569.3561401367188,552.0679931640625,2202.0,1897.84375,1753.9403076171875,1125.0,1942.52001953125,1116.157470703125,3507.022705078125,771.145751953125,2446.304931640625,901.6932983398438,358.0,1309.1734619140625,864.8931274414062,4569.6416015625,1078.7965087890625,2104.0,682.9713745117188,3072.649658203125,3342.076416015625,589.140869140625,320.24627685546875,2234.0,1144.4674072265625,1500.1871337890625,1623.489501953125,910.0,2600.64208984375,2568.7294921875,11501.5859375,820.6221313476562,1414.500244140625,82.95631408691406,1022.9574584960938,1571.6651611328125,1177.7271728515625
2025-01-15,3840.556884765625,798.0,1717.0,220.0,831.0077514648438,938.8121337890625,1500.0,1936.0,4330.0,1089.6607666015625,1332.8966064453125,3537.746826171875,1785.15966796875,1056.0,992.21484375,2546.618408203125,1735.0740966796875,3214.15966796875,1187.73974609375,2081.91455078125,3310.0,742.6541137695312,1655.844482421875,1183.1610107421875,2115.97607421875,288.490966796875,2963.7109375,2656.422607421875,703.1026000976562,707.25,574.0,800.1509399414062,660.0632934570312,174.0,955.7745971679688,824.6270141601562,126.42771911621094,2226.9423828125,1889.032958984375,878.0,181.97816467285156,2831.0,2900.0,559.585205078125,324.4692687988281,450.0,1191.4591064453125,18530.0,616.0,1708.7613525390625,1066.0,2001.0,651.2000122070312,802.0,598.0,703.8822021484375,868.2484130859375,865.2648315429688,849.0,1186.0,1385.5628662109375,6593.0,469.0,666.1853637695312,559.91259765625,2202.0,1910.320068359375,1750.0555419921875,1125.0,1942.52001953125,1120.0029296875,3511.941162109375,753.0347900390625,2430.135986328125,903.6241455078125,358.0,1322.739990234375,857.2476196289062,4502.7216796875,1077.8477783203125,2104.0,683.931884765625,3022.405029296875,3346.9130859375,593.9384765625,319.2903137207031,2234.0,1146.0460205078125,1501.1683349609375,1614.9447021484375,1060.0,2589.93603515625,2615.695068359375,11579.62890625,814.8294677734375,1414.500244140625,76.95947265625,1016.1700439453125,1520.361572265625,1176.7490234375
2025-01-16,3830.858642578125,797.0,1717.0,220.0,824.9937133789062,933.97119140625,1500.0,1680.0,4330.0,1096.5634765625,1320.230224609375,3508.387939453125,1791.0030517578125,1057.0,990.234375,2529.274658203125,1765.3087158203125,3209.176513671875,1140.993408203125,2082.900146484375,3310.0,741.6704711914062,1647.372314453125,1179.317138671875,2124.69970703125,282.2194519042969,2944.682373046875,2578.00048828125,697.3078002929688,688.03125,595.0,791.547119140625,652.1344604492188,174.0,950.9814453125,829.4494018554688,125.44001007080078,2237.883056640625,1933.192138671875,901.0,179.9893341064453,2833.0,2900.0,553.674072265625,325.4525146484375,450.0,1187.61572265625,18530.0,625.0,1698.9970703125,1050.0,2006.0,690.6666870117188,809.0,570.0,700.9974365234375,869.2174682617188,860.4417724609375,862.0,1186.0,1350.69970703125,6593.0,473.0,646.8195190429688,657.9708862304688,2202.0,1910.320068359375,1750.0555419921875,1125.0,1942.52001953125,1117.118896484375,3477.510498046875,758.7540283203125,2413.966796875,907.4857788085938,349.0,1308.204345703125,846.735107421875,4488.3818359375,1072.15478515625,2104.0,680.089599609375,3023.371337890625,3313.056884765625,578.5863037109375,317.3783874511719,2234.0,1158.6746826171875,1515.8856201171875,1669.06103515625,1047.0,2567.550048828125,2615.695068359375,11462.564453125,815.794921875,1422.172119140625,76.95947265625,1030.7144775390625,1485.830322265625,1166.96728515625
2025-01-17,3806.612548828125,793.0,1717.0,220.0,824.896728515625,932.6802978515625,1500.0,1554.0,4330.0,1080.78564453125,1323.1531982421875,3508.387939453125,1767.6295166015625,1030.0,1014.0,2514.82177734375,1736.0494384765625,3209.176513671875,1170.567626953125,2092.7578125,3310.0,751.5069580078125,1700.0882568359375,1175.4732666015625,2124.215087890625,275.9478759765625,2944.682373046875,2593.883544921875,686.6840209960938,703.40625,596.0,803.9747924804688,651.1434326171875,174.0,959.6093139648438,820.7691040039062,125.44001007080078,2234.899169921875,1913.56591796875,917.0,182.97259521484375,2857.0,2900.0,543.8222045898438,328.4022521972656,450.0,1186.65478515625,18530.0,615.0,1728.2900390625,1042.0,2039.0,670.933349609375,792.0,577.0,717.3444213867188,867.2793579101562,884.5572509765625,849.0,1186.0,1385.5628662109375,6593.0,460.0,627.4536743164062,605.0194091796875,2202.0,1891.60546875,1741.31494140625,1125.0,1942.52001953125,1111.3507080078125,3413.567626953125,754.941162109375,2398.74853515625,914.24365234375,364.0,1306.2662353515625,848.646484375,4488.3818359375,1062.666748046875,2104.0,680.089599609375,3037.864990234375,3293.710693359375,585.3028564453125,317.3783874511719,2234.0,1136.574462890625,1482.5263671875,1669.06103515625,1347.0,2552.950927734375,2587.899169921875,11433.298828125,805.1751098632812,1393.402587890625,74.96052551269531,1047.1981201171875,1492.736572265625,1164.0328369140625
2025-01-20,3859.95361328125,789.0,1717.0,220.0,825.4786376953125,933.6484375,1500.0,1610.0,4330.0,1089.6607666015625,1379.6649169921875,3542.64013671875,1770.5511474609375,1037.0,995.185546875,2514.82177734375,1755.5555419921875,3209.176513671875,1193.4638671875,2076.0,3310.0,747.5723266601562,1764.1004638671875,1177.155029296875,2143.116455078125,278.63568115234375,2982.73974609375,2591.898193359375,687.6497802734375,715.8984375,586.0,822.1383666992188,658.0811157226562,174.0,975.9063110351562,875.7442626953125,125.44001007080078,2243.850830078125,1928.2855224609375,925.0,181.97816467285156,2820.0,2900.0,559.585205078125,328.4022521972656,450.0,1200.587158203125,18530.0,631.0,1760.024169921875,1042.0,2040.0,690.6666870117188,781.0,565.0,758.6926879882812,880.8457641601562,893.2388305664062,870.0,1186.0,1432.379150390625,6593.0,467.0,654.5658569335938,676.6019287109375,2202.0,1876.7298583984375,1739.3726806640625,1125.0,1942.52001953125,1104.6209716796875,3384.0556640625,745.4091186523438,2410.162109375,937.4135131835938,357.0,1310.1424560546875,856.2919921875,4536.181640625,1070.2572021484375,2104.0,686.8136596679688,3052.358642578125,3225.998291015625,589.140869140625,318.3343505859375,2234.0,1134.995849609375,1477.62060546875,1635.831787109375,1105.0,2566.576904296875,2597.484130859375,11628.40625,804.2096557617188,1400.115478515625,76.95947265625,1036.5322265625,1529.2410888671875,1172.83642578125
