Date,1301.T,1305.T,1306.T,1308.T,1309.T,1311.T,1319.T,1320.T,1321.T,1322.T,1325.T,1326.T,1328.T,1329.T,1330.T,1332.T,1333.T,1343.T,1345.T,1346.T,1348.T,1349.T,1356.T,1357.T,1358.T,1360.T,1364.T,1365.T,1366.T,1367.T,1368.T,1369.T,1375.T,1376.T,1377.T,1379.T,1380.T,1381.T,1382.T,1383.T,1384.T
2024-06-19,3845.406005859375,2794.65625,2763.905517578125,2727.2626953125,40880.0,1407.4921875,450.3385009765625,38797.296875,38927.484375,7890.0,204.3802947998047,34010.0,8997.0,3867.14404296875,38958.41796875,811.9029541015625,982.533447265625,1717.020751953125,1617.5152587890625,38736.28125,2728.912109375,15705.4384765625,385.20001220703125,148.0,51240.0546875,361.3999938964844,25102.712890625,42860.0,383.0,37720.0,557.0,37659.60546875,988.178955078125,1359.9525146484375,3307.46435546875,1814.0931396484375,1027.86328125,2964.60791015625,2177.396484375,2901.7294921875,950.1918334960938
2024-06-20,3850.25537109375,2789.39208984375,2760.075439453125,2726.305908203125,40780.0,1400.7208251953125,449.1964416503906,38903.8046875,39033.9453125,7979.0,204.01708984375,34250.0,9056.0,3879.6748046875,39084.21484375,802.9010009765625,983.8041381835938,1717.9439697265625,1614.299560546875,38842.72265625,2725.564208984375,15800.05078125,385.3999938964844,147.0,51518.15625,359.0,25088.0703125,43050.0,381.0,37650.0,560.0,37746.87109375,985.229248046875,1359.9525146484375,3331.71240234375,1809.2503662109375,1025.8828125,2950.601806640625,2225.1044921875,2900.736328125,949.2378540039062
2024-06-21,3830.858642578125,2783.649658203125,2757.203125,2719.607421875,40850.0,1400.7208251953125,445.4848937988281,38874.7578125,39024.26953125,7806.0,206.5593719482422,34790.0,9186.0,3874.85498046875,39064.86328125,807.21044921875,977.4508056640625,1717.4822998046875,1609.7059326171875,38871.75390625,2721.259765625,15956.158203125,387.0,147.0,51428.765625,359.6000061035156,25083.189453125,43000.0,382.0,37530.0,560.0,37717.78125,982.2794189453125,1357.0528564453125,3317.16357421875,1789.8792724609375,1025.8828125,2950.601806640625,2227.967041015625,2885.835205078125,947.329833984375
2024-06-24,3884.19970703125,2800.877197265625,2773.48095703125,2739.702880859375,40990.0,1411.361572265625,445.4848937988281,39097.453125,39227.51953125,7890.0,207.7397003173828,34380.0,9080.0,3895.096923828125,39277.75,813.9140625,987.9337158203125,1723.482666015625,1619.8125,39045.94140625,2738.477294921875,15852.0859375,382.1000061035156,145.0,52014.765625,356.3999938964844,25249.140625,43470.0,379.0,38010.0,553.0,37921.3984375,991.1287841796875,1372.517822265625,3341.411865234375,1816.0301513671875,1034.794921875,2964.60791015625,2185.98388671875,2895.769287109375,943.5137939453125
2024-06-25,3990.8818359375,2849.687744140625,2822.31494140625,2782.76513671875,40800.0,1440.382080078125,438.2520446777344,39455.703125,39595.30859375,7830.0,209.73721313476562,34320.0,9070.0,3936.54443359375,39655.140625,829.8111572265625,1025.41796875,1738.252685546875,1632.6754150390625,39384.62890625,2784.389404296875,15998.734375,368.79998779296875,143.0,52988.1171875,348.8999938964844,25576.1640625,44310.0,370.0,39290.0,534.0,38318.9375,998.9949340820312,1382.183349609375,3355.9609375,1831.5269775390625,1028.853515625,2964.60791015625,2227.012939453125,2887.822021484375,946.3757934570312
2024-06-26,3986.032470703125,2862.6083984375,2834.283935546875,2798.075927734375,40480.0,1452.473876953125,451.004638671875,39988.23046875,40117.95703125,7799.0,209.3740234375,34220.0,9041.0,3983.775390625,40129.296875,827.8001708984375,1017.1588134765625,1736.8681640625,1628.5408935546875,39926.52734375,2795.38916015625,16003.46484375,365.5,140.0,54378.62109375,339.79998779296875,25703.068359375,45460.0,362.0,39650.0,530.0,38803.7421875,1000.96142578125,1379.28369140625,3346.261474609375,1836.3697509765625,1028.853515625,2973.9453125,2200.29638671875,2890.80224609375,948.2838134765625
2024-06-27,4044.222900390625,2856.865966796875,2825.1875,2791.377685546875,40900.0,1449.088134765625,451.004638671875,39639.66796875,39779.203125,7824.0,208.19369506835938,34120.0,9018.0,3947.147216796875,39771.26171875,825.406005859375,1008.8994750976562,1718.866943359375,1612.002685546875,39558.8125,2792.04150390625,15998.734375,367.0,141.0,53494.65625,346.29998779296875,25654.259765625,44560.0,367.0,39530.0,533.0,38464.37890625,1002.927978515625,1391.84912109375,3351.111083984375,1848.9608154296875,1016.970703125,2890.599609375,2228.580322265625,2900.736328125,950.1918334960938
2024-06-28,3961.78662109375,2876.964599609375,2842.423095703125,2812.429931640625,41150.0,1460.6962890625,451.004638671875,39891.40625,40011.48828125,7889.0,212.4610595703125,34640.0,9144.0,3975.10009765625,40042.2109375,826.267822265625,1002.8639526367188,1719.7901611328125,1612.4622802734375,39800.73046875,2810.215087890625,16102.8037109375,362.29998779296875,139.0,54229.640625,341.70001220703125,25888.546875,45210.0,363.0,39970.0,524.0,38716.48046875,997.0283203125,1387.016357421875,3341.411865234375,1840.2440185546875,1024.892578125,2871.3291015625,2196.39501953125,2907.690185546875,953.0538330078125
2024-07-01,3952.088134765625,2887.4921875,2858.700927734375,2823.913330078125,41250.0,1469.88623046875,451.004638671875,39949.5,40040.52734375,7899.0,207.92129516601562,34620.0,9131.0,3981.847412109375,40109.9453125,831.6307373046875,1018.1117553710938,1703.6353759765625,1598.6802978515625,39868.46875,2822.171142578125,16107.5361328125,359.1000061035156,140.0,54199.83984375,340.70001220703125,25966.640625,45330.0,362.0,40360.0,521.0,38745.5625,998.0115966796875,1390.882568359375,3341.411865234375,1834.4326171875,1024.892578125,2814.48046875,2212.0,2910.67041015625,954.9618530273438
2024-07-02,3927.84228515625,2921.94677734375,2890.7783203125,2855.4921875,41480.0,1498.4229736328125,460.6167297363281,40375.52734375,40476.06640625,7906.0,208.01210021972656,34840.0,9198.0,4025.222412109375,40574.42578125,834.02490234375,1024.465087890625,1705.9432373046875,1603.274169921875,40294.24609375,2840.822998046875,16107.5361328125,351.29998779296875,137.0,55391.69921875,333.0,26347.353515625,46400.0,354.0,41280.0,508.0,39162.5,997.0283203125,1391.84912109375,3360.810546875,1820.8729248046875,1023.90234375,2838.56884765625,2202.246826171875,2917.6240234375,955.9158935546875
