Date,1301.T,130A.T,131A.T,132A.T,1332.T,1333.T,1375.T,1376.T,1377.T,1379.T,1380.T,1381.T,1382.T,1383.T,1384.T,1401.T,1407.T,1414.T,1417.T,1418.T,1419.T,1420.T,1429.T,1430.T,1431.T,1432.T,1433.T,1434.T,1435.T,1436.T,1438.T,1443.T,1444.T,1445.T,1446.T,1447.T,1450.T,1452.T
2024-01-04,3603.452392578125,,,,729.4890747070312,885.93017578125,912.1749267578125,1339.8048095703125,3756.662841796875,1657.98876953125,1008.6304321289062,2693.824951171875,2131.5966796875,3397.437744140625,940.906982421875,595.5626220703125,2811.483154296875,1526.2916259765625,1775.621826171875,191.4966583251953,3746.011474609375,704.3782348632812,851.8680419921875,675.6697998046875,745.6376953125,174.0,1032.669677734375,845.6475219726562,169.68222045898438,802.6702880859375,1410.4744873046875,216.7961883544922,2751.0,2900.0,569.4905395507812,273.3407897949219,960.48095703125,18530.0
2024-01-05,3636.51171875,,,,725.8067016601562,881.8682250976562,911.2003173828125,1342.659423828125,3747.079345703125,1663.6766357421875,1010.5927734375,2701.294677734375,2174.5341796875,3392.470703125,959.302001953125,577.0729370117188,2751.761962890625,1507.1136474609375,1776.08984375,190.6340789794922,3700.439208984375,706.2490844726562,848.1882934570312,680.2598876953125,747.6025390625,174.0,1020.454345703125,833.580078125,170.65740966796875,796.7755126953125,1412.4066162109375,217.78610229492188,2783.0,2900.0,571.4342041015625,307.75421142578125,961.404541015625,18530.0
2024-01-09,3669.571044921875,,,,736.3817749023438,889.523193359375,922.8949584960938,1327.4344482421875,3809.370849609375,1674.104248046875,1009.611572265625,2718.10205078125,2151.634033203125,3387.503662109375,979.5365600585938,598.4820556640625,2705.82275390625,1520.2108154296875,1787.7867431640625,189.77149963378906,3864.49853515625,709.0553588867188,876.70654296875,690.3582763671875,749.5673217773438,174.0,1022.33349609375,810.3735961914062,172.6077880859375,797.7579956054688,1386.322509765625,219.7659912109375,2800.0,2900.0,573.3778686523438,338.2346496582031,992.804931640625,18530.0
2024-01-10,3693.184814453125,,,,749.8838500976562,889.2107543945312,922.8949584960938,1328.385986328125,3833.329345703125,1670.312255859375,1011.5739135742188,2730.240478515625,2084.8427734375,3407.371826171875,965.740234375,612.1060180664062,2692.041015625,1526.057861328125,1805.56640625,188.90887451171875,3855.3837890625,702.50732421875,873.9467163085938,686.6861572265625,752.5144653320312,174.0,1014.8164672851562,795.5213012695312,171.6326141357422,803.6527709960938,1386.322509765625,218.7760467529297,2820.0,2900.0,572.4060668945312,320.53631591796875,978.0281982421875,18530.0
2024-01-11,3674.293701171875,,,,752.527587890625,885.1489868164062,921.9203491210938,1332.192138671875,3871.662841796875,1673.15625,1011.5739135742188,2735.8427734375,2102.017822265625,3397.437744140625,971.2587890625,613.0791625976562,2749.005615234375,1567.4544677734375,1807.4378662109375,194.08447265625,3805.2548828125,699.7011108398438,875.78662109375,689.440185546875,753.4968872070312,174.0,1011.057861328125,822.44091796875,170.65740966796875,798.740478515625,1413.3726806640625,223.72573852539062,2785.0,2900.0,570.46240234375,322.5028076171875,977.5664672851562,18530.0
2024-01-12,3660.12548828125,,,,745.8238525390625,879.9937133789062,915.0985717773438,1305.54833984375,3876.454345703125,1667.468505859375,1011.5739135742188,2721.8369140625,2079.11767578125,3392.470703125,974.9378051757812,610.1597290039062,3041.179443359375,1602.5361328125,1791.52978515625,193.2218780517578,3559.16650390625,695.02392578125,864.7472534179688,686.6861572265625,753.4968872070312,174.0,996.0235595703125,816.871337890625,168.70704650878906,801.6878051757812,1400.813720703125,220.7559356689453,2816.0,2900.0,566.5750732421875,313.65362548828125,996.0372314453125,18530.0
2024-01-15,3679.016357421875,,,,749.3172607421875,879.056396484375,918.9967041015625,1312.209228515625,3790.204345703125,1672.2083740234375,1011.5739135742188,2734.9091796875,2037.1346435546875,3397.437744140625,985.0550537109375,598.4820556640625,2912.54931640625,1593.4149169921875,1814.4561767578125,189.77149963378906,3568.28076171875,699.7011108398438,860.1475830078125,698.6204833984375,753.4968872070312,174.0,999.7821655273438,750.9647216796875,168.70704650878906,800.705322265625,1400.813720703125,222.7357940673828,2820.0,2900.0,568.5187377929688,313.65362548828125,1005.2725830078125,18530.0
2024-01-16,3683.7392578125,,,,742.0470581054688,877.1817016601562,924.843994140625,1313.160888671875,3622.49609375,1671.26025390625,1018.4420166015625,2729.306884765625,2123.00927734375,3392.470703125,985.9747924804688,607.2402954101562,2848.234375,1608.6170654296875,1791.52978515625,190.6340789794922,3581.952392578125,699.7011108398438,859.2276000976562,694.0303955078125,754.479248046875,174.0,987.5667114257812,740.7537841796875,166.7566680908203,802.6702880859375,1439.456787109375,220.7559356689453,2795.0,2900.0,567.546875,335.284912109375,999.2696533203125,18530.0
2024-01-17,3707.35302734375,,,,742.9911499023438,881.8682250976562,920.9458618164062,1312.209228515625,3603.329345703125,1672.2083740234375,1019.4232177734375,2717.168212890625,2080.072021484375,3392.470703125,979.5365600585938,611.1328735351562,2898.767822265625,1585.930908203125,1791.997802734375,187.18368530273438,3540.937744140625,701.5718994140625,880.3862915039062,689.440185546875,750.5496215820312,174.0,982.8685302734375,798.30615234375,163.8311004638672,807.5825805664062,1437.524658203125,217.78610229492188,2729.0,2900.0,567.546875,327.41900634765625,990.957763671875,18530.0
2024-01-18,3712.07568359375,,,,740.2529907226562,888.8982543945312,922.8949584960938,1313.160888671875,3608.121337890625,1673.15625,1019.4232177734375,2745.18017578125,2064.805419921875,3392.470703125,963.9007568359375,605.2940063476562,2802.29541015625,1564.1802978515625,1784.51171875,188.90887451171875,3668.5390625,702.50732421875,892.3455810546875,694.9483642578125,750.5496215820312,174.0,988.5064086914062,864.2128295898438,163.8311004638672,805.61767578125,1446.2193603515625,217.78610229492188,2665.0,2900.0,574.3496704101562,364.7821350097656,989.1106567382812,18530.0
